ID,EDAD,CAMPANA,NRO_DIAS_CONTACTO,CONTACTOS_PREVIOS,TASA_VAR_EMP,IPC,ICC,INGRESO,MONTO_DEUDA,MONTO_TRANSAC,TIPO_CONTACTO_WOE,TRABAJO_WOE,ACEPTACION
24004,27,1,999,0,-0.1,93.798,-40.4,1285.0,24260.77053,5242.101608,-0.8208591392622184,-0.09003847518831645,0
24003,43,1,999,0,-0.1,93.798,-40.4,1287.0,28980.09457,5538.942316,-0.8208591392622184,-0.045330690645941585,0
23998,44,1,999,0,-0.1,93.798,-40.4,1153.0,10937.49426,7630.6648,-0.8208591392622184,0.19287528550585503,0
24005,46,1,999,0,-0.1,93.798,-40.4,1125.0,29232.60368,7008.855259,-0.8208591392622184,0.19287528550585503,0
23999,42,1,999,0,-0.1,93.798,-40.4,1443.0,32636.30279,3012.416629,-0.8208591392622184,0.19287528550585503,1
24002,30,1,999,0,-0.1,93.798,-40.4,1155.0,9839.558554,3807.102326,-0.8208591392622184,-0.3899483758768173,1
24000,39,1,999,0,-0.1,93.798,-40.4,1229.0,13131.7492,7567.169802,-0.8208591392622184,-0.5306930434424036,1
24006,42,1,999,0,-0.1,93.798,-40.4,1156.0,18538.51272,8245.143233,-0.8208591392622184,-0.09003847518831645,1
24011,41,1,999,0,-0.1,93.798,-40.4,1186.403763,32735.54584,5583.831155,-0.8208591392622184,-0.045330690645941585,0
24007,52,1,999,0,-0.1,93.798,-40.4,1214.403763,12276.19094,2176.780896,-0.8208591392622184,-0.045330690645941585,0
24008,35,1,999,0,-0.1,93.798,-40.4,1390.403763,27177.3856,4234.44175,-0.8208591392622184,-0.06306818212925193,0
24009,35,1,999,0,-0.1,93.798,-40.4,1287.403763,15491.47925,8238.390382,-0.8208591392622184,-0.3899483758768173,0
24010,48,1,999,0,-0.1,93.798,-40.4,1130.403763,30459.33316,3636.997544,-0.8208591392622184,0.19287528550585503,1
24012,30,1,999,0,-0.1,93.798,-40.4,1333.403763,27434.51373,6244.402419,-0.8208591392622184,0.19287528550585503,1
24013,39,1,999,0,-0.1,93.798,-40.4,1212.403763,14583.04997,7634.729404,-0.8208591392622184,-0.045330690645941585,1
18904,50,3,999,0,1.4,93.444,-36.1,1471.534814,24245.74706,2253.806479,0.3063626917533698,0.19287528550585503,0
18948,50,1,999,0,1.4,93.444,-36.1,1164.534814,9331.306237,5615.502697,0.3063626917533698,-0.5306930434424036,0
18876,30,1,999,0,1.4,93.444,-36.1,1397.534814,23101.64402,3536.238409,0.3063626917533698,0.19287528550585503,0
18910,35,1,999,0,1.4,93.444,-36.1,1475.534814,12507.76084,7418.359395,0.3063626917533698,-0.045330690645941585,0
18837,41,1,999,0,1.4,93.444,-36.1,1266.534814,32825.22768,1816.11291,0.3063626917533698,-0.045330690645941585,0
18896,36,1,999,0,1.4,93.444,-36.1,1137.534814,31720.7867,3820.64875,0.3063626917533698,0.19287528550585503,0
18966,50,6,999,0,1.4,93.444,-36.1,1326.534814,16987.5804,4250.569254,0.3063626917533698,0.19287528550585503,0
18898,33,1,999,0,1.4,93.444,-36.1,1217.534814,12383.94146,4824.120431,0.3063626917533698,-0.045330690645941585,0
18921,46,1,999,0,1.4,93.444,-36.1,1474.534814,14090.60528,8095.064014,0.3063626917533698,-0.5306930434424036,0
18858,56,1,999,0,1.4,93.444,-36.1,1223.534814,16115.66327,6222.778707,0.3063626917533698,-0.5306930434424036,0
18920,48,2,999,0,1.4,93.444,-36.1,1520.534814,27707.50313,5471.924922,0.3063626917533698,-0.5306930434424036,0
18838,41,1,999,0,1.4,93.444,-36.1,1456.534814,13497.84473,2214.149484,0.3063626917533698,-0.045330690645941585,0
18869,33,1,999,0,1.4,93.444,-36.1,1389.534814,32559.84382,5850.203619,0.3063626917533698,0.19287528550585503,0
18824,45,1,999,0,1.4,93.444,-36.1,1312.534814,30391.57339,3275.94706,0.3063626917533698,-0.06306818212925193,0
18824,45,1,999,0,1.4,93.444,-36.1,1329.534814,16102.02951,7312.507284,0.3063626917533698,-0.06306818212925193,0
18929,54,4,999,0,1.4,93.444,-36.1,1234.534814,10788.49758,5961.703222,0.3063626917533698,-0.045330690645941585,0
18917,50,2,999,0,1.4,93.444,-36.1,1281.534814,10950.40774,7439.604232,0.3063626917533698,0.19287528550585503,0
18930,57,1,999,0,1.4,93.444,-36.1,1197.534814,30315.94732,6120.216067,0.3063626917533698,0.19287528550585503,0
18891,44,1,999,0,1.4,93.444,-36.1,1385.534814,12219.26715,3461.3234,0.3063626917533698,-0.4407162365390601,0
